"Table 1.3 Fastest growing occupations, 2019 and projected 2029
(Numbers in thousands)",,,,,,
2019 National Employment Matrix title,2019 National Employment Matrix code,"Employment, 2019","Employment, 2029","Employment change, numeric, 2019-29","Employment change, percent, 2019-29","Median annual wage, 2020(1)"
"Total, all occupations",00-0000,"162,795.6","168,834.7","6,039.2",3.7,"$41,950"
Wind turbine service technicians,49-9081,7.0,11.3,4.3,60.7,"$56,230"
Nurse practitioners,29-1171,211.3,322.0,110.7,52.4,"$111,680"
Solar photovoltaic installers,47-2231,12.0,18.1,6.1,50.5,"$46,470"
Occupational therapy assistants,31-2011,47.1,63.5,16.3,34.6,"$62,940"
Statisticians,15-2041,42.7,57.5,14.8,34.6,"$92,270"
Home health and personal care aides,31-1120,"3,439.7","4,599.2","1,159.5",33.7,"$27,080"
Physical therapist assistants,31-2021,98.7,130.9,32.2,32.6,"$59,770"
Medical and health services managers,11-9111,422.3,555.5,133.2,31.5,"$104,280"
Physician assistants,29-1071,125.5,164.8,39.3,31.3,"$115,390"
Information security analysts,15-1212,131.0,171.9,40.9,31.2,"$103,590"
"Data scientists and mathematical science occupations, all other",15-2098,33.2,43.4,10.3,30.9,"$98,230"
"Derrick operators, oil and gas",47-5011,12.0,15.7,3.7,30.5,"$47,920"
"Rotary drill operators, oil and gas",47-5012,20.9,26.6,5.6,26.9,"$53,820"
"Roustabouts, oil and gas",47-5071,58.5,73.1,14.7,25.1,"$39,420"
Speech-language pathologists,29-1127,162.6,203.1,40.5,24.9,"$80,480"
Operations research analysts,15-2031,105.1,131.3,26.1,24.8,"$86,200"
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,319.4,398.4,79.0,24.7,"$47,660"
Forest fire inspectors and prevention specialists,33-2022,2.3,2.8,0.5,24.3,"$42,150"
"Cooks, restaurant",35-2014,"1,417.3","1,744.6",327.3,23.1,"$28,800"
Animal caretakers,39-2021,300.7,369.5,68.8,22.9,"$26,080"
"Service unit operators, oil and gas",47-5013,51.7,63.6,11.8,22.9,"$47,380"
Marriage and family therapists,21-1013,66.2,80.9,14.8,22.3,"$51,340"
Computer numerically controlled tool programmers,51-9162,25.7,31.3,5.6,21.9,"$57,740"
Film and video editors,27-4032,38.3,46.5,8.3,21.6,"$67,250"
Software developers and software quality assurance analysts and testers,15-1256,"1,469.2","1,785.2",316.0,21.5,"$110,140"
Genetic counselors,29-9092,2.6,3.2,0.6,21.5,"$85,700"
Physical therapist aides,31-2022,50.6,61.3,10.8,21.3,"$28,450"
Massage therapists,31-9011,166.7,201.1,34.4,20.6,"$43,620"
"Health specialties teachers, postsecondary",25-1071,254.0,306.1,52.1,20.5,"$99,090"
Helpers--extraction workers,47-5081,16.9,20.3,3.4,20.2,"$37,860"
Footnotes:,,,,,,
"(1) Data are from the Occupational Employment Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers.",,,,,,
"Note: Data is unavailable for values denoted with a ""Ñ"".",,,,,,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",,,,,,
