"Table 1.7 Occupational projections, 2019-29, and worker characteristics, 2019
(Numbers in thousands)",,,,,,,,,,,,
2019 National Employment Matrix title,2019 National Employment Matrix code,Occupation type,"Employment, 2019","Employment, 2029","Employment change, numeric, 2019-29","Employment change, percent, 2019-29","Percent self employed, 2019","Occupational openings, 2019-29 annual average","Median annual wage, 2020(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Total, all occupations",00-0000,Summary,"162,795.6","168,834.7","6,039.2",3.7,5.8,"17,454.3","$41,950",Ñ,Ñ,Ñ
Management occupations,11-0000,Summary,"10,697.2","11,202.2",505.0,4.7,18.6,843.0,"$109,760",Ñ,Ñ,Ñ
Top executives,11-1000,Summary,"2,828.0","2,946.3",118.3,4.2,3.0,222.2,"$106,180",Ñ,Ñ,Ñ
Chief executives,11-1011,Line item,287.9,259.1,-28.7,-10.0,24.2,13.9,"$185,950",Bachelor's degree,5 years or more,None
General and operations managers,11-1021,Line item,"2,486.4","2,630.2",143.8,5.8,0.6,204.4,"$103,650",Bachelor's degree,5 years or more,None
Legislators,11-1031,Line item,53.7,57.0,3.3,6.2,Ñ,3.9,"$33,200",Bachelor's degree,Less than 5 years,None
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,836.7,879.0,42.3,5.1,4.7,70.0,"$134,120",Ñ,Ñ,Ñ
Advertising and promotions managers,11-2011,Line item,28.6,28.3,-0.3,-1.1,11.0,2.5,"$133,460",Bachelor's degree,Less than 5 years,None
Marketing and sales managers,11-2020,Summary,720.1,754.6,34.5,4.8,5.0,59.9,"$136,350",Ñ,Ñ,Ñ
Marketing managers,11-2021,Line item,286.3,305.4,19.1,6.7,5.0,24.6,"$142,170",Bachelor's degree,5 years or more,None
Sales managers,11-2022,Line item,433.8,449.2,15.4,3.5,5.1,35.3,"$132,290",Bachelor's degree,Less than 5 years,None
Public relations and fundraising managers,11-2030,Line item,88.0,96.1,8.1,9.2,Ñ,7.6,"$118,430",Bachelor's degree,5 years or more,None
Operations specialties managers,11-3000,Summary,"2,116.6","2,316.6",200.0,9.4,1.8,168.5,"$125,040",Ñ,Ñ,Ñ
Administrative services and facilities managers,11-3010,Line item,325.9,347.0,21.2,6.5,0.4,26.3,"$98,890",Bachelor's degree,Less than 5 years,None
Computer and information systems managers,11-3021,Line item,461.0,509.2,48.1,10.4,1.8,36.8,"$151,150",Bachelor's degree,5 years or more,None
Financial managers,11-3031,Line item,697.9,806.0,108.1,15.5,2.0,59.6,"$134,180",Bachelor's degree,5 years or more,None
Industrial production managers,11-3051,Line item,190.1,191.9,1.7,0.9,1.0,11.7,"$108,790",Bachelor's degree,5 years or more,None
Purchasing managers,11-3061,Line item,76.9,78.9,2.0,2.6,3.5,5.6,"$125,940",Bachelor's degree,5 years or more,None
"Transportation, storage, and distribution managers",11-3071,Line item,139.4,144.3,4.9,3.5,3.1,10.0,"$96,390",High school diploma or equivalent,5 years or more,None
Compensation and benefits managers,11-3111,Line item,18.0,18.4,0.5,2.5,1.9,1.3,"$125,130",Bachelor's degree,5 years or more,None
Human resources managers,11-3121,Line item,165.2,175.6,10.4,6.3,2.1,13.3,"$121,220",Bachelor's degree,5 years or more,None
Training and development managers,11-3131,Line item,42.3,45.4,3.1,7.3,3.6,3.7,"$115,640",Bachelor's degree,5 years or more,None
Other management occupations,11-9000,Summary,"4,915.9","5,060.3",144.4,2.9,37.3,382.3,"$95,180",Ñ,Ñ,Ñ
"Farmers, ranchers, and other agricultural managers",11-9013,Line item,952.3,890.6,-61.6,-6.5,66.7,80.9,"$68,090",High school diploma or equivalent,5 years or more,None
Construction managers,11-9021,Line item,476.7,517.1,40.4,8.5,37.9,34.7,"$97,180",Bachelor's degree,None,Moderate-term on-the-job training
Education and childcare administrators,11-9030,Summary,595.1,618.2,23.1,3.9,3.7,42.0,"$93,470",Ñ,Ñ,Ñ
"Education and childcare administrators, preschool and daycare",11-9031,Line item,69.2,69.9,0.7,1.0,8.6,4.6,"$49,160",Bachelor's degree,Less than 5 years,None
"Education administrators, kindergarten through secondary",11-9032,Line item,283.2,294.4,11.1,3.9,1.9,20.0,"$98,490",Master's degree,5 years or more,None
"Education administrators, postsecondary",11-9033,Line item,190.5,197.6,7.1,3.7,4.1,13.4,"$97,500",Master's degree,Less than 5 years,None
"Education administrators, all other",11-9039,Line item,52.1,56.4,4.2,8.1,6.0,4.0,"$87,580",Bachelor's degree,Less than 5 years,None
Architectural and engineering managers,11-9041,Line item,198.1,203.2,5.1,2.6,Ñ,12.5,"$149,530",Bachelor's degree,5 years or more,None
Food service managers,11-9051,Line item,352.6,354.8,2.2,0.6,32.1,34.8,"$56,590",High school diploma or equivalent,Less than 5 years,None
Gambling managers,11-9071,Line item,5.1,5.6,0.5,8.8,11.4,0.6,"$75,470",High school diploma or equivalent,Less than 5 years,None
Lodging managers,11-9081,Line item,57.2,50.6,-6.7,-11.7,31.1,4.5,"$56,670",High school diploma or equivalent,Less than 5 years,None
Medical and health services managers,11-9111,Line item,422.3,555.5,133.2,31.5,2.8,47.0,"$104,280",Bachelor's degree,Less than 5 years,None
Natural sciences managers,11-9121,Line item,71.4,74.8,3.4,4.8,Ñ,4.9,"$137,940",Bachelor's degree,5 years or more,None
Postmasters and mail superintendents,11-9131,Line item,13.4,10.5,-2.9,-21.9,0.7,0.5,"$78,060",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Property, real estate, and community association managers",11-9141,Line item,367.9,368.7,0.8,0.2,37.9,26.0,"$59,660",High school diploma or equivalent,Less than 5 years,None
Social and community service managers,11-9151,Line item,175.5,205.4,29.8,17.0,4.8,17.1,"$69,600",Bachelor's degree,Less than 5 years,None
Emergency management directors,11-9161,Line item,10.4,10.9,0.5,4.5,Ñ,0.7,"$76,250",Bachelor's degree,5 years or more,None
Funeral home managers,11-9171,Line item,28.6,26.9,-1.6,-5.7,66.5,1.6,"$74,200",Associate's degree,Less than 5 years,None
"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",11-9198,Line item,"1,189.2","1,167.5",-21.7,-1.8,57.6,74.5,"$116,350",Bachelor's degree,Less than 5 years,None
Business and financial operations occupations,13-0000,Summary,"9,016.3","9,492.5",476.2,5.3,4.5,813.0,"$72,250",Ñ,Ñ,Ñ
Business operations specialists,13-1000,Summary,"5,944.0","6,311.9",367.9,6.2,3.7,561.7,"$71,450",Ñ,Ñ,Ñ
"Agents and business managers of artists, performers, and athletes",13-1011,Line item,21.9,24.4,2.6,11.8,22.5,2.7,"$75,420",Bachelor's degree,Less than 5 years,None
Buyers and purchasing agents,13-1020,Line item,449.3,409.7,-39.7,-8.8,3.5,36.0,"$66,690",Bachelor's degree,None,Moderate-term on-the-job training
"Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,348.8,326.8,-22.0,-6.3,2.3,22.1,"$68,130",Ñ,Ñ,Ñ
"Claims adjusters, examiners, and investigators",13-1031,Line item,332.9,311.5,-21.4,-6.4,2.3,21.0,"$68,270",High school diploma or equivalent,None,Long-term on-the-job training
"Insurance appraisers, auto damage",13-1032,Line item,15.9,15.3,-0.6,-4.0,2.8,1.1,"$65,550",Postsecondary nondegree award,None,Moderate-term on-the-job training
Compliance officers,13-1041,Line item,337.6,353.2,15.6,4.6,0.6,27.7,"$71,100",Bachelor's degree,None,Moderate-term on-the-job training
Cost estimators,13-1051,Line item,214.2,211.0,-3.2,-1.5,1.3,17.5,"$66,610",Bachelor's degree,None,Moderate-term on-the-job training
Human resources workers,13-1070,Summary,746.2,787.8,41.6,5.6,1.5,70.7,"$64,070",Ñ,Ñ,Ñ
Human resources specialists,13-1071,Line item,666.5,713.5,46.9,7.0,1.5,64.5,"$63,490",Bachelor's degree,None,None
Farm labor contractors,13-1074,Line item,0.8,0.9,0.1,10.4,Ñ,0.1,"$47,780",No formal educational credential,Less than 5 years,Short-term on-the-job training
Labor relations specialists,13-1075,Line item,78.9,73.5,-5.4,-6.8,1.7,6.1,"$73,240",Bachelor's degree,Less than 5 years,None
Logisticians,13-1081,Line item,188.2,196.4,8.2,4.4,0.4,16.8,"$76,270",Bachelor's degree,None,None
Management analysts,13-1111,Line item,876.3,970.2,93.8,10.7,14.8,87.1,"$87,660",Bachelor's degree,Less than 5 years,None
"Meeting, convention, and event planners",13-1121,Line item,138.6,149.5,10.8,7.8,5.1,15.2,"$51,560",Bachelor's degree,None,None
Fundraisers,13-1131,Line item,100.6,115.0,14.4,14.3,Ñ,11.1,"$59,610",Bachelor's degree,None,None
