"Table 1.10 Occupational separations and openings, projected 2019-29
 (Numbers in thousands)",,,,,,,,,,,,,
2019 National Employment Matrix title,2019 National Employment Matrix code,"Occupation
type","Employment, 2019","Employment, 2029","Employment change, numeric, 2019-29","Employment change, percent, 2019-29","Labor force exit rate, 2019-29 annual average","Occupational transfer rate, 2019-29 annual average","Total occupational separations rate, 2019-29 annual average","Labor force exits, 2019-29 annual average","Occupational transfers, 2019-29 annual average","Total occupational separations, 2019-29 annual average","Occupational openings, 2019-29 annual average"
"Total, all occupations",00-0000,Summary,"162,795.6","168,834.7","6,039.2",3.7,4.3,5.9,10.2,"7,079.5","9,770.9","16,850.4","17,454.3"
Management occupations,11-0000,Summary,"10,697.2","11,202.2",505.0,4.7,2.6,4.6,7.2,287.8,504.7,792.5,843.0
Top executives,11-1000,Summary,"2,828.0","2,946.3",118.3,4.2,2.1,5.2,7.3,60.5,149.9,210.4,222.2
Chief executives,11-1011,Line item,287.9,259.1,-28.7,-10.0,2.6,3.5,6.1,7.2,9.6,16.8,13.9
General and operations managers,11-1021,Line item,"2,486.4","2,630.2",143.8,5.8,2.0,5.4,7.4,51.9,138.0,190.0,204.4
Legislators,11-1031,Line item,53.7,57.0,3.3,6.2,2.5,4.0,6.5,1.4,2.2,3.6,3.9
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,836.7,879.0,42.3,5.1,2.1,5.6,7.7,17.8,47.9,65.7,70.0
Advertising and promotions managers,11-2011,Line item,28.6,28.3,-0.3,-1.1,1.9,6.8,8.8,0.6,1.9,2.5,2.5
Marketing and sales managers,11-2020,Summary,720.1,754.6,34.5,4.8,2.0,5.6,7.7,15.0,41.4,56.4,59.9
Marketing managers,11-2021,Line item,286.3,305.4,19.1,6.7,2.0,5.6,7.7,6.0,16.6,22.6,24.6
Sales managers,11-2022,Line item,433.8,449.2,15.4,3.5,2.0,5.6,7.7,9.0,24.8,33.8,35.3
Public relations and fundraising managers,11-2030,Line item,88.0,96.1,8.1,9.2,2.5,4.9,7.4,2.3,4.5,6.8,7.6
Operations specialties managers,11-3000,Summary,"2,116.6","2,316.6",200.0,9.4,2.1,4.6,6.7,46.2,102.3,148.5,168.5
Administrative services and facilities managers,11-3010,Line item,325.9,347.0,21.2,6.5,2.8,4.4,7.2,9.4,14.7,24.2,26.3
Computer and information systems managers,11-3021,Line item,461.0,509.2,48.1,10.4,1.6,5.0,6.6,8.0,24.1,32.0,36.8
Financial managers,11-3031,Line item,697.9,806.0,108.1,15.5,2.0,4.5,6.5,15.3,33.5,48.8,59.6
Industrial production managers,11-3051,Line item,190.1,191.9,1.7,0.9,1.9,4.1,6.1,3.7,7.9,11.6,11.7
Purchasing managers,11-3061,Line item,76.9,78.9,2.0,2.6,2.2,4.7,6.9,1.7,3.7,5.4,5.6
"Transportation, storage, and distribution managers",11-3071,Line item,139.4,144.3,4.9,3.5,2.0,4.7,6.7,2.9,6.7,9.6,10.0
Compensation and benefits managers,11-3111,Line item,18.0,18.4,0.5,2.5,2.3,4.8,7.1,0.4,0.9,1.3,1.3
Human resources managers,11-3121,Line item,165.2,175.6,10.4,6.3,2.2,5.0,7.2,3.8,8.5,12.3,13.3
Training and development managers,11-3131,Line item,42.3,45.4,3.1,7.3,2.3,5.5,7.8,1.0,2.4,3.4,3.7
